strategy_id	Q1v	Q2v	xQ3v	xQ4v
0	-16748.60796751501	-0.21193825543025124	6562	1511722.8140000002
1	-3219.663827072145	-0.2093795325599968	6562	1516613.5219999999
2	-5207.7714952068345	-0.21098224539790894	6561	1518925.5929999999
3	-11603.753717990883	-0.21085818866968753	6564	1513128.102
4	-1201.9708897800301	-0.21074373109076183	6564	1518495.429
5	-14556.806058031078	-0.21166228006789245	6564	1523214.498
6	-1365.1590835495008	-0.21140254316326584	6560	1517896.7090000003
7	-20116.9791909504	-0.21053824408120642	6557	1511622.119
8	-10463.71351384544	-0.2083632623205599	6556	1521573.384
9	-7495.960029823298	-0.21138809155522015	6563	1521250.174
10	-3877.401935953152	-0.2102843928940673	6559	1518132.924
11	-11153.877557139407	-0.21166021216310105	6558	1514159.036
12	-6863.520965328222	-0.21296420571993352	6556	1515018.58
13	-6237.042337451945	-0.21081070590090006	6568	1515630.736
14	-16662.601825393678	-0.21052068330896706	6561	1513406.572
15	-22193.82023001861	-0.2108707400197986	6554	1509366.188
16	-6264.634556730278	-0.21170598422939402	6563	1519316.4030000002
17	-3086.0626018781622	-0.21148131132116754	6564	1519728.934
18	-11822.287266288753	-0.21199027718623425	6560	1521722.412
19	-916.7604565792135	-0.21076441986991218	6563	1516034.5270000002
20	-13614.249212936411	-0.20874853033345753	6563	1514374.798
21	-4272.849400811188	-0.21091953115222578	6561	1520153.7940000002
22	-6169.639611278544	-0.2101784144933307	6567	1514513.867
23	-2999.7844134502375	-0.2118756769162506	6561	1518530.9370000002
24	-3262.6133414516516	-0.20713294028481083	6562	1517876.022
25	-13679.74169518279	-0.21064852761088204	6561	1513823.9990000003
26	-15569.999623865137	-0.20955104307908196	6571	1510566.7510000002
27	-4279.450391622537	-0.21159720901838414	6564	1515696.3020000001
28	-1811.3775732851063	-0.2130863412312073	6563	1516768.273
29	-6545.889357032778	-0.21007141289391862	6559	1515844.645
30	-6224.247830512992	-0.21101821975360008	6560	1521133.743
31	-3362.488500757201	-0.20708755692643888	6560	1517244.5550000002
32	-4248.531434463497	-0.21061179074401065	6558	1516170.534
33	-9005.855338098525	-0.2107444192834123	6560	1515535.2650000001
34	-16814.822013626093	-0.21369552958597815	6558	1524725.741
35	-2336.995286571502	-0.21074400965793638	6562	1518986.726
36	-6709.527880032547	-0.2093722527359244	6555	1515730.085
37	-12462.798626676566	-0.20798736860394673	6562	1512120.6749999998
38	-6525.030674844747	-0.2107075833718583	6561	1515749.4200000002
39	-4507.076529247293	-0.21108502410905405	6568	1518126.7910000002
40	-4695.7810827712965	-0.21095144019392637	6562	1516546.1860000002
41	-6213.4659632072435	-0.21223096139782743	6562	1522037.147
42	-10293.428387500753	-0.21170680351369842	6564	1521930.437
43	-3651.3290955944103	-0.20921158599836365	6560	1516709.9360000002
44	-14783.924417330738	-0.21073859282374507	6563	1513076.37
45	-3313.003948453901	-0.2119235282142769	6569	1517890.5410000002
46	-14.694052783001098	-0.2102351138062501	6558	1516300.237
47	-10337.272179185878	-0.20842968294075803	6558	1515213.405
48	-15421.959289447797	-0.21017002547544777	6567	1511912.6150000002
49	-12144.948914318084	-0.21103571135772164	6567	1514529.303
50	-22548.642900468825	-0.2130194744419563	6560	1525709.1050000002
51	-13739.873951433183	-0.21192230649627158	6560	1523119.7440000002
52	-9522.880629983905	-0.21180064708775975	6566	1521961.9
53	-357.47166299914534	-0.21061482803812476	6561	1518552.633
54	-11176.814627416607	-0.21045508428680698	6563	1522557.058
55	-10026.772412471764	-0.2112190050520033	6559	1521470.3560000001
56	-9270.195383754733	-0.2118386577405768	6559	1523197.7440000002
57	-16972.043090396895	-0.21140289914061888	6561	1511514.334
58	-677.2432154483686	-0.2104461470122197	6563	1518001.338
59	-10629.767749126426	-0.21092211491494517	6560	1521125.926
60	-13894.55095023346	-0.20980910493371002	6561	1513933.6030000001
61	-4146.7829342451005	-0.21460224546761653	6563	1516851.4130000002
62	-4746.689399791707	-0.2092145849135662	6562	1517040.499
63	-4870.417455536837	-0.2111097519037337	6559	1519719.0580000002
64	-19787.294970535266	-0.21344827656663728	6563	1525005.2510000002
65	-2875.134984020231	-0.21063350051950097	6558	1519351.1600000001
66	-4652.765658439632	-0.21163595917880812	6566	1519703.237
67	-10271.77197090911	-0.21186888900627715	6560	1521331.65
68	-17148.450547800057	-0.2085973926300475	6561	1525487.742
69	-23199.83638664626	-0.20962632447961999	6559	1509909.864
70	-1654.3517981491168	-0.20952271292307684	6563	1518185.6430000002
71	-16034.243242204662	-0.21142953386626812	6566	1524043.4340000004
72	-12937.298124174122	-0.21343573316847053	6560	1523238.698
73	-6202.659014213568	-0.21241619884455898	6562	1519377.7030000002
74	-12329.98462667274	-0.2097178983732127	6563	1514560.879
75	-5581.5960332031245	-0.2110250228571171	6558	1517077.599
76	-3202.244366736413	-0.2098515348652143	6560	1520918.574
77	-13728.410192604075	-0.20957161734897084	6557	1514582.431
78	-6948.4445781650575	-0.21129278416846703	6568	1520576.2520000003
79	-15083.316377460476	-0.21238678229352864	6565	1523366.549
80	-14300.34657646274	-0.21120639219263287	6563	1524049.474
81	-8489.591914342862	-0.211927312814375	6560	1515268.23
82	-5239.953614025129	-0.2127641410083867	6566	1515856.966
83	-15973.802590103143	-0.20894780592609458	6560	1524794.483
84	-22176.4444745121	-0.21244579985081735	6564	1526639.0890000002
85	-2954.831554664619	-0.21086266694377892	6560	1516769.253
86	-304.5379283647635	-0.2103634111070567	6562	1517986.555
87	-8268.023667652116	-0.2126404201130062	6565	1520277.7120000003
88	-8784.001786600114	-0.2108418878321613	6560	1520760.412
89	-10608.317862631797	-0.20970824334420113	6561	1514512.049
90	-25344.76320359802	-0.20893192713878006	6562	1508443.4780000001
91	-4747.764427142145	-0.21086818093497317	6566	1517732.391
92	-2246.7447665157233	-0.2127180042311012	6563	1520238.6430000002
93	-15511.480958452223	-0.2104341736848908	6566	1522693.236
94	-6752.426944238658	-0.2122507881483261	6560	1519995.5
95	-7018.570868103023	-0.21215791974607678	6562	1517101.286
96	-28544.46507298661	-0.20423735708352625	6559	1508735.651
97	-14679.351908382436	-0.2098584523849879	6557	1514374.7060000002
98	-15672.924833271027	-0.21140254359893534	6568	1523808.2710000002
99	-4073.4026938629104	-0.2116861389162898	6562	1518957.411
